Title,Author,Publisher,Pub Date,Price,eb_price
핀테크 트렌드 2024,길진세,책세상,2023-12-11,342000,0
핀테크 트렌드 2024,길진세,책세상,2023-12-11,342000,0
핀테크 세상을 열다,None,None,None,342000,0
핀테크 세상을 열다,None,None,None,342000,0
[웅진북센]핀테크 전쟁,None,None,None,342000,0
핀테크와 GDPR 1,None,None,None,342000,0
[카드10%] 핀테크 전쟁,None,None,None,342000,0
핀테크와 GDPR 1,None,None,None,342000,0
핀테크 보안 : 데이터 분석,오종학,아이티씨이씨,2022-03-22,342000,0
[웅진북센]내일의 핀테크,None,None,None,342000,0
[카드10%] 내일의 핀테크,None,None,None,342000,0
핀테크 트렌드 2024,None,None,None,342000,0
[이노플리아]핀테크 전쟁,None,None,None,342000,0
핀테크와 블록체인의 미래,김선미,북오션,None,342000,0
핀테크와 블록체인의 미래,김선미,북오션,None,342000,0
2015 핀테크 완전 정복,한국IDG,None,2015-03-01,342000,0
[이노플리아]내일의 핀테크,None,None,None,342000,0
핀테크와 블록체인의 미래,None,None,None,342000,0
핀테크와 블록체인의 미래,None,None,None,342000,0
달러스왑 핀테크만으로 800% 수익 난다!,손대식,지식과감성,2024-04-15,342000,0
핀테크를 통해 본 금융의 미래,조중혁,세계와나,2017-05-29,342000,0
IT를 통한 금융 혁명 핀테크 (손끝에 닿는 창조경제 세미나6),창조경제연구회,디투스튜디오,2016-12-02,342000,0
핀테크를 통해 본 금융의 미래,조중혁,세계와나,2017-05-29,342000,0
핀테크를 통해 본 금융의 미래,조중혁,세계와나,2017-05-29,342000,0
[웅진북센]핀테크 세상을 열다,None,None,None,342000,0
[웅진북센]핀테크와 법(제3판),None,None,None,342000,0
[카드10%] 핀테크 세상을 열다,None,None,None,342000,0
[유니오니아시아]핀테크 전쟁,None,None,None,342000,0
핀테크 산업분야 취업가이드,None,None,None,342000,0
[eBook] 내일의 핀테크 (체험판),매일경제신문사,None,2016-02-22,342000,0
디지털 금융시대와 핀테크산업,None,None,None,342000,0
"[카드10%] 핀테크, 기회를 잡아라",None,None,None,342000,0
핀테크 트렌드 2024 / 책세상,책세상,None,None,342000,0
[이노플리아]핀테크 세상을 열다,None,None,None,342000,0
[유니오니아시아]내일의 핀테크,None,None,None,342000,0
핀테크 산업분야 취업가이드 책,북앤피플,None,None,342000,0
[봄봄북스] 핀테크와 GDPR 1,None,None,None,342000,0
디지털 금융시대와 핀테크산업,None,None,None,342000,0
[eBook] 핀테크 보안 : 데이터 분석,ITCEC,None,2022-03-22,342000,0
금융산업의 혁명을 이끄는 핀테크,신선진,세계와나,2017-01-16,342000,0
금융산업의 혁명을 이끄는 핀테크,신선진,세계와나,2017-01-16,342000,0
금융산업의 혁명을 이끄는 핀테크,신선진,세계와나,2017-01-16,342000,0
[온누리북스] 핀테크와 GDPR 1,None,None,None,342000,0
교보문고 교보문고 핀테크 - 핀테크,None,None,None,342000,0
핀테크에코시스템혁신을잡아라,None,None,None,342000,0
[유니오니아시아]핀테크 세상을 열다,None,None,None,342000,0
[유니오니아시아]진짜 핀테크 이야기,None,None,None,342000,0
국내외 핀테크 산업분석보고서(2023),비피기술거래,비티타임즈,2023-03-13,342000,0
국내외 핀테크 산업분석보고서(2023),비피기술거래,비티타임즈,2023-03-13,342000,0
국내외 핀테크 산업분석보고서(2023),비피기술거래,비티타임즈,2023-03-13,342000,0
[eBook] 핀테크를 통해 본 금융의 미래,세계와나,None,2017-05-29,342000,0
특허와 기술 핀테크 기술 및 보안시스템,높은새,None,2016-10-12,342000,0
[유니오니아시아]핀테크 기회를 잡아라,None,None,None,342000,0
[유니오니아시아]핀테크와 GDPR 1,None,None,None,342000,0
[유니오니아시아]핀테크와 GDPR 2,None,None,None,342000,0
김변이 알려주는 핀테크의 비밀 (제3판),None,None,None,342000,0
핀테크와 블록체인의 미래 (사은품제공),None,None,None,342000,0
김변이 알려주는 핀테크의 비밀 (제3판),None,None,None,342000,0
활성화되는 핀테크 기술시장 동향과 전망,None,None,None,342000,0
[무.배] 핀테크와 GDPR 1,None,None,None,342000,0
[봄봄북스] 디지털 금융시대와 핀테크산업,None,None,None,342000,0
핀테크 산업분석보고서(2018) 개정판,None,None,None,342000,0
[eBook] 금융산업의 혁명을 이끄는 핀테크,세계와나,None,2017-01-16,342000,0
핀테크산업 육성을 위한 규제 개선방안 연구 ([현안분석 2015-08]),한국법제연구원,None,2015-11-30,342000,0
웹 3.0 시대 핀테크로 부자되기 / 보민출판사,보민출판사,None,None,342000,0
"핀테크 혁신, 미래 산업과 금융의 판을 바꾸다",None,None,None,342000,0
[eBook] 특허와 기술 핀테크 기술 및 보안시스템,높은새,None,2016-10-10,342000,0
[웅진북센]플러스에프(+F) 전략(공급망관리+핀테크),None,None,None,342000,0
Live 과학 첨단과학 15   핀테크와 가상화폐,None,None,None,342000,0
Live 과학 첨단과학 15   핀테크와 가상화폐,None,None,None,342000,0
핀테크 트렌드 2024 - IT·금융권 취업을 위한,None,None,None,342000,0
Live 과학 첨단과학 15 : 핀테크와 가상화폐,None,None,None,342000,0
핀테크 규제와 실무 : 지급결제와 본인인증편 (양장),None,None,None,342000,0
핀테크 규제와 실무 : 지급결제와 본인인증편 (양장),None,None,None,342000,0
[이노플리아]플러스에프(+F) 전략(공급망관리+핀테크),None,None,None,342000,0
핀테크와 GDPR 1 : 핀테크를 위한 개인정보 보호,None,None,None,342000,0
핀테크와 GDPR 1 : 핀테크를 위한 개인정보 보호,None,None,None,342000,0
핀테크와 GDPR. 1: 핀테크를 위한 개인정보 보호,None,None,None,342000,0
FinTech(핀테크) 글로벌 혁신기술 및 동향분석,BIR 편집부,BIR,2016-03-25,342000,0
[웅진북센]핀테크혁신 미래산업과 금융의판을바꾸다,None,None,None,342000,0
[카드10%] 핀테크 혁신 미래 산업과 금융의 판을 바꾸다,None,None,None,342000,0
핀테크  기회를 잡아라 돈의 흐름을 바꾸는 금융 대혁명,None,None,None,342000,0
사 은 품 증 정 ) 달러스왑 핀테크만으로 800% 수익 난다,None,None,None,342000,0
"핀테크, 기회를 잡아라 돈의 흐름을 바꾸는 금융 대혁명",None,None,None,342000,0
핀테크와 GDPR. 2: 개인 데이터 주권을 위한 접근법,None,None,None,342000,0
핀테크 산업관련 기술동향분석 및 시장전망과 기업종합분석,비피기술거래,비티타임즈,2023-03-20,342000,0
핀테크 산업관련 기술동향분석 및 시장전망과 기업종합분석,비피기술거래,비티타임즈,2023-03-20,342000,0
핀테크 산업관련 기술동향분석 및 시장전망과 기업종합분석,비피기술거래,비티타임즈,2023-03-20,342000,0
달러스왑 핀테크만으로 800% 수익 난다 펜타곤 투자법,None,None,None,342000,0
[이노플리아]핀테크혁신 미래산업과 금융의판을바꾸다,None,None,None,342000,0
NEW Live 과학 첨단과학 15 : 핀테크와 가상화폐,None,None,None,342000,0
NEW Live 과학 첨단과학 15 - 핀테크와 가상화폐,None,None,None,342000,0
NEW Live 과학 첨단과학 15 : 핀테크와 가상화폐,None,None,None,342000,0
미래 보안 생체인식 발전현황과 금융기술 핀테크 산업동향,RIsearch센터,산업정책분석원,2019-05-30,342000,0
[보리보리/웅진북센]플러스에프(+F) 전략(공급망관리+핀테크),None,None,None,342000,0
미래 보안 생체인식 발전현황과 금융기술 핀테크 산업동향,None,None,None,342000,0
교보문고 교보문고 핀테크 규제와 실무 - 핀테크 규제와 실무,None,None,None,342000,0
[보리보리/유니오니아시아]핀테크 트렌드 2024 / 책세상,None,None,None,342000,0
[카드10%] 핀테크 트렌드 2024 - IT·금융권 취업을 위한,None,None,None,342000,0
[봄봄북스] 핀테크 트렌드 2024 - IT·금융권 취업을 위한,None,None,None,342000,0
[밀크북]핀테크와 GDPR 1 ： 핀테크를 위한 개인정보 보호,None,None,None,342000,0
"내일의 핀테크 금융대혁명의 시대, 어떻게 살아남을 것인가",None,None,None,342000,0
